set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,55.72018774,0,0,55.72018774,0,0,55.83162811,0,0,55.72018774,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,74.75082815,0,0,24.9667766,0,0,74.75082815,0,0,25.11627826,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,124.0231123,0,0,0,0,0,0,0,0,124.0231123,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,77.58146502,0,0,232.7443951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,66.28659262,0,0,375.6461204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,113.9977506,0,0,0,0,0,114.3397439,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,235.5365974,339.3916901,203.2077249,0,0,135.9871179,227.7848116
Native,181.1302941,0,0,0,0,0,59.95412735,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,235.5365974,339.3916901,203.2077249,0,0,135.9871179,227.7848116
Native,159.8423448,0,0,0,0,0,53.38734318,0,0,0,0,0,0,0,0,90,0,0,477.1,439.8,235.5365974,339.3916901,203.2077249,0,0,135.9871179,227.7848116
Native,99.37,-0.09,0,0,0,0,149.2239634,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,194.43,-0.17,0,0,0,0,102.9022833,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,99.37,-0.09,0,0,0,0,155.708755,0,0,0,0,0,0,0,0,90,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,194.03,-0.17,0,0,0,0,140.5056979,0,0,0,0,0,0,0,0,90,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,114.58,-0.1,0,114.5,-0.1,0,107.3817267,0,0,107.3817267,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,0,0,0,165.2704925,0,0,165.2704925,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,201.2353244,16.19600196,0,0,0,0,134.966683,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,304.9483873,24.53216077,0,0,0,0,68.14489102,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,294.2882921,23.69020752,0,50.14,207.6,-0.88,0,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,285.007273,22.97158621,0,76.02,315.5,-1.36,0,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,0,0,0,76.82,140.79,-0.56,161.87712,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,53.4,97.83,-0.37,166.8651114,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,106.51,195.16,-0.76,140.5685174,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
